K1001,K1002,K1004,K1053,K1081,K1082,K1086,K1100,K1103,K1104,K1303,DMC_GearUnit ,Machine_1,Type_1,Attribute,Date/Time,Event,Batch Number,Nest Number,DMC_steering column ,Machine_2,Type_2,Attribute,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 11:10:49,20190227,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600020,1998,950273,0,27.02.2019/11:20:03,8,#19022700117,1,19022600025,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 13:12:22,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600012,1998,950273,0,27.02.2019/13:30:25,8,#19022700120,1,19022600074,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 13:12:22,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600074,1998,950273,0,27.02.2019/13:30:59,8,#19022700121,1,19022600067,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 13:12:22,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600056,1998,950273,0,27.02.2019/13:33:51,8,#19022700122,1,19022600070,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 12:45:36,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600058,1998,950273,0,27.02.2019/12:46:26,8,#19022700119,1,19022600026,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 11:26:10,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600020,1998,950273,0,27.02.2019/11:27:42,8,#19022700118,1,19022600025,2016,950270,0 ,
950111,ReNi  HJD_BRA_LHD_BL1N,27.02.2019 11:31:06,123,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,27.02.2019 09:55:59,TK-PCHZ,19022600020,1998,950273,0,27.02.2019/11:39:16,8,#19022700118,1,19022600025,2016,950270,0 ,
