K1001,K1002,K1004,K1053,K1081,K1082,K1086,K1100,K1103,K1104,K1303,C_052 SM Position befor joining stator TD1 - Actual value ,Attribute,Date/Time,Event 1,Event 2,Event 3,Event 4,Batch Number,Nest Number,C_052 SM Position before joining stator TD1 - difference value ,Attribute,C_052 SM Position befor joining stator TD2 - Actual value ,Attribute,C_052 SM Position before joining stator TD2 - difference value ,Attribute,C_052 SM Joining stator - Actual value ,Attribute,C_052 SM Joining stator - difference value ,Attribute,C_052 SM Joining magnet - Actual value ,Attribute,C_052 SM Joining magnet - difference value ,Attribute,C_052 Calibration magnetic field ,Attribute,P_052 Joining Stator - measuring pre-position TD1 ,Attribute,P_052 Joining Stator - measuring pre-position TD2 ,Attribute,Q_052 Joining stator - Delta measuring pre-position ,Attribute,Q_052 Joining stator - measuring pre-position - Average ,Attribute,P_052 Joining stator - Force-max Zone 0 ,Attribute,P_052 Joining stator - Force-max Zone 1 ,Attribute,Q_052 Joining stator - Force-min Zone 1 ,Attribute,P_052 Joining stator - Force-Average value Zone 1 ,Attribute,Q_052 Joining stator - Force-max Zone 2 ,Attribute,Q_052 Joining stator - Force-min Zone 2 ,Attribute,P_052 Joining stator - Force-Average value Zone 2 ,Attribute,P_052 Joining stator - Delta force / End force ,Attribute,P_052 Joining stator - Way ,Attribute,P_052 Joining stator - Gradient ,Attribute,Q_052 Joining stator - Joining position ,Attribute,Q_052 Joining stator - Joining position TD1 ,Attribute,Q_052 Joining stator - Joining position TD2 ,Attribute,Q_052 Joining stator - Joining position after Adjustment - Average ,Attribute,P_052 Joining magnet - Force-Max Zone 0 ,Attribute,P_052 Joining magnet - Force-Max Zone 1 ,Attribute,Q_052 Joining magnet - Force-Min Zone 1 ,Attribute,P_052 Joining magnet - Force-Average value Zone 1 ,Attribute,Q_052 Joining magnet - Force-Max Zone 2 ,Attribute,Q_052 Joining magnet - Force-Min Zone 2 ,Attribute,P_052 Joining magnet - Force-Average value Zone 2 ,Attribute,Q_052 Joining magnet - Joining position ,Attribute,P_052 Joining magnet - Delta force / End force ,Attribute,P_052 Joining magnet - Way ,Attribute,P_052 Joining magnet - Gradient ,Attribute,Q_052 Adjustement orientation tooth spindle ,Attribute,P_052 Adjustement angle MM ,Attribute,P_052 Quality measuring MM after joining with load ,Attribute,Q_052 Quality measuring MM after joining without load ,Attribute,P_052 Quality measuring MM before joining Nest 1 ,Attribute,P_052 Quality measuring MM before joining Nest 2 ,Attribute,P_052 Quality measuring MM before joining Nest 3 ,Attribute,P_052 Gradient MM ,Attribute,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:17:56,200,8,null,null,#19022600256,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.105,0,6.145,0,-0.040000204,0,6.125,0,1062,0,1912,0,945,0,1411,0,2182,0,1915,0,2027,0,2177,0,0,256,0,256,-1.1635,0,-1.19,0,-1.1429999,0,-1.1665,0,1182,0,1587,0,1182,0,1364,0,1662,0,1478,0,1596,0,90.57167,0,1657,0,0,256,0,256,200.0,0,-109.3397,0,0.10605182,0,0.11917478,0,-0.16754662,0,0,256,0,256,1.0995818,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:19:01,200,8,null,null,#19022600261,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.827,0,5.882,0,-0.0550002,0,5.8545,0,1120,0,1827,0,932,0,1341,0,2051,0,1830,0,1926,0,2049,0,0,256,0,256,-1.171,0,-1.2020001,0,-1.1489999,0,-1.1755,0,1153,0,1546,0,1125,0,1336,0,1618,0,1420,0,1548,0,90.570435,0,1618,0,0,256,0,256,200.0,0,-110.4951,0,-0.8864101,0,-0.9047212,0,0,256,0,256,-0.29770806,0,1.3064973,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:19:29,200,8,null,null,#19022600248,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.107,0,6.162,0,-0.0550002,0,6.1345,0,1134,0,1938,0,1018,0,1406,0,2188,0,1920,0,2046,0,2188,0,0,256,0,256,-1.162,0,-1.1990001,0,-1.1369998,0,-1.168,0,1152,0,1504,0,1152,0,1314,0,1562,0,1395,0,1520,0,90.573685,0,1557,0,0,256,0,256,200.0,0,-108.5295,0,-0.029145177,0,-0.030060733,0,-0.23331401,0,0,256,0,256,1.0950041,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:20:23,200,8,null,null,#19022600255,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.795,0,5.8510003,0,-0.056000203,0,5.823,0,1088,0,1862,0,907,0,1314,0,2119,0,1858,0,1984,0,2109,0,0,256,0,256,-1.166,0,-1.1980001,0,-1.1479999,0,-1.173,0,1201,0,1573,0,1202,0,1402,0,1622,0,1568,0,1588,0,90.58761,0,1621,0,0,256,0,256,200.0,0,-110.7835,0,-0.7875301,0,-0.8035523,0,0,256,0,256,-0.33082065,0,1.2024293,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:20:50,200,8,null,null,#19022600222,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.184,0,6.199,0,-0.015000202,0,6.1915,0,1086,0,1880,0,910,0,1335,0,2151,0,1864,0,1994,0,2151,0,0,256,0,256,-1.1615,0,-1.187,0,-1.1439999,0,-1.1655,0,1240,0,1634,0,1241,0,1447,0,1694,0,1542,0,1654,0,90.574684,0,1679,0,0,256,0,256,200.0,0,-109.7361,0,0.63539535,0,0.63325906,0,-0.17380291,0,0,256,0,256,1.1642811,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:23:13,200,8,null,null,#19022600195,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.769,0,5.816,0,-0.047000203,0,5.7925,0,1085,0,1861,0,915,0,1353,0,2096,0,1861,0,1972,0,2085,0,0,256,0,256,-1.166,0,-1.1930001,0,-1.152,0,-1.1725,0,1216,0,1649,0,1217,0,1438,0,1705,0,1541,0,1658,0,90.57508,0,1702,0,0,256,0,256,200.0,0,-111.2687,0,-0.6727805,0,-0.67247534,0,0,256,0,256,-0.30869472,0,1.2784203,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:23:46,200,8,null,null,#19022600229,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.075,0,6.1340003,0,-0.0590002,0,6.1045,0,1105,0,1932,0,983,0,1417,0,2173,0,1930,0,2041,0,2173,0,0,256,0,256,-1.168,0,-1.1970001,0,-1.1459999,0,-1.1715,0,1182,0,1540,0,1179,0,1350,0,1601,0,1456,0,1561,0,90.57768,0,1596,0,0,256,0,256,200.0,0,-110.9803,0,0.4098636,0,0.41413617,0,-0.19074069,0,0,256,0,256,1.0632648,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:24:48,200,8,null,null,#19022600260,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.784,0,5.8450003,0,-0.0610002,0,5.8145,0,1147,0,1981,0,990,0,1394,0,2236,0,1984,0,2100,0,2231,0,0,256,0,256,-1.1685,0,-1.2020001,0,-1.1469998,0,-1.1745,0,1256,0,1706,0,1256,0,1487,0,1783,0,1615,0,1734,0,90.5726,0,1782,0,0,256,0,256,200.0,0,-112.2804,0,-0.65446943,0,-0.6927702,0,0,256,0,256,-0.32227546,0,1.3699759,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 17:24:15,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:26:41,200,8,null,null,#19022600268,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.069,0,6.1080003,0,-0.039000202,0,6.0885,0,1102,0,1881,0,930,0,1360,0,2151,0,1858,0,1986,0,2150,0,0,256,0,256,-1.166,0,-1.19,0,-1.1479999,0,-1.169,0,1128,0,1533,0,1126,0,1341,0,1577,0,1420,0,1539,0,90.575325,0,1574,0,0,256,0,256,200.0,0,-108.2026,0,0.8456679,0,0.81713307,0,-0.18250069,0,0,256,0,256,1.1511582,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 17:24:15,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:27:47,200,8,null,null,#19022600263,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.128,0,6.2000003,0,-0.072000206,0,6.164,0,1123,0,1918,0,890,0,1365,0,2169,0,1910,0,2033,0,2155,0,0,256,0,256,-1.1645,0,-1.2040001,0,-1.1299999,0,-1.1669999,0,1185,0,1478,0,1133,0,1299,0,1524,0,1348,0,1477,0,90.57174,0,1524,0,0,256,0,256,200.0,0,-107.9673,0,-0.2397229,0,-0.23056734,0,-0.27741325,0,0,256,0,256,1.0959197,0 ,
